month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-07-01,B DIVISION,D,offpeak,2898150.3,1.883070473,1.366718417,5457421.257,3960955.389,778974.9,26.8783472,73.1216528
2024-07-01,B DIVISION,D,peak,2762073.4,1.360542365,0.971153756,3757917.875,2682397.956,576373.4,20.8674179,79.1325821
2024-07-01,B DIVISION,E,offpeak,3708025.9,1.245781571,0.32955262,4619390.332,1221989.652,601641.4,16.2253829,83.7746171
2024-07-01,B DIVISION,E,peak,4086755.5,1.331313502,-0.141828809,5440752.778,-579619.6643,510295.3,12.486563,87.513437
2024-07-01,B DIVISION,F,offpeak,4431832.6,1.942259942,0.339778966,8607770.93,1505843.498,952864.3,21.5004578,78.4995422
2024-07-01,B DIVISION,F,peak,4834878.8,1.639962514,-0.209912972,7929019.991,-1014903.78,731999.1,15.1399679,84.8600321
2024-07-01,B DIVISION,G,offpeak,515036.6,0.733668993,0.382435674,377866.3835,196968.3695,68651.8,13.3294993,86.6705007
2024-07-01,B DIVISION,G,peak,537305.5,1.004789868,-0.051552546,539879.1227,-27699.46667,78285.3,14.5699793,85.4300207
2024-07-01,B DIVISION,JZ,offpeak,1428322.3,1.234481001,0.909952957,1763236.742,1299706.101,288906.1,20.2269544,79.7730456
2024-07-01,B DIVISION,JZ,peak,1503164.1,0.965543494,0.551969495,1451370.318,829700.7292,246518.9,16.3999992,83.6000008
2024-07-01,B DIVISION,L,offpeak,2895636.6,1.321563629,0.625400269,3826768.013,1810931.908,328497.2,11.3445589,88.6554411
2024-07-01,B DIVISION,L,peak,2871655.6,1.48402953,0.622889541,4261621.709,1788724.24,305563.5,10.6406736,89.3593264
2024-07-01,B DIVISION,M,offpeak,1717149,1.980402727,0.479431167,3400646.563,823254.7488,368065.8,21.4347037,78.5652963
2024-07-01,B DIVISION,M,peak,1984026.8,1.819457828,0.242707503,3609853.091,481538.1915,403553.2,20.3401083,79.6598917
2024-07-01,B DIVISION,N,offpeak,2728055.7,1.351575631,0.707724298,3687173.603,1930711.305,513366.5,18.8180359,81.1819641
2024-07-01,B DIVISION,N,peak,2885069.2,1.294279777,0.429142514,3734086.72,1238105.851,445013.3,15.4247011,84.5752989
2024-07-01,B DIVISION,Q,offpeak,3348455.7,1.277892137,0.459503446,4278965.21,1538626.933,650482.2,19.4263344,80.5736656
2024-07-01,B DIVISION,Q,peak,3460815.2,1.5317815,0.719035515,5301212.7,2488449.04,708354.8,20.4678597,79.5321403
2024-07-01,B DIVISION,R,offpeak,3635670,1.924122682,0.165867524,6995475.112,603039.582,798810.5,21.9714798,78.0285202
2024-07-01,B DIVISION,R,peak,3948933,1.646292284,0.046535212,6501097.929,183764.4327,677314.5,17.1518357,82.8481643
2024-07-01,B DIVISION,S Fkln,offpeak,91230.6,0.488558013,0.042645978,44571.44067,3890.618167,2982.6,3.2692978,96.7307022
2024-07-01,B DIVISION,S Fkln,peak,83569.1,0.453813423,0.068465725,37924.77933,5721.619,3431.8,4.1065418,95.8934582
2024-07-01,B DIVISION,S Rock,offpeak,35765.4,1.436024957,-0.832467767,51360.007,-29773.54267,4121.2,11.5228685,88.4771315
2024-07-01,B DIVISION,S Rock,peak,23463,1.52378709,-1.363064307,35752.6165,-31981.57783,2087.3,8.8961343,91.1038657
2024-07-01,B DIVISION,W,offpeak,1367297.6,0.932397205,0.2233235,1274864.461,305349.686,153134.6,11.1998002,88.8001998
2024-07-01,B DIVISION,W,peak,1569735.2,0.870902902,-0.109942224,1367086.94,-172580.1785,127138,8.0993278,91.9006722
2024-07-01,Systemwide,Systemwide,Systemwide,136149433.2,1.325236869,0.476428893,180430248.6,64865523.7,20873467.2,15.331292,84.668708
2024-06-01,A DIVISION,1,offpeak,4746890.5,1.022043521,0.762687756,4851528.679,3620395.265,564177.1,11.8851931,88.1148069
2024-06-01,A DIVISION,1,peak,4840213.8,1.108179093,0.591981786,5363823.74,2865318.409,488601.2,10.0946202,89.9053798
2024-06-01,A DIVISION,2,offpeak,2893558.3,1.576373494,0.528347058,4561328.609,1528803.014,515010.3,17.7985113,82.2014887
2024-06-01,A DIVISION,2,peak,3284177.8,1.33195672,0.326577951,4374382.689,1072540.056,418832.3,12.7530337,87.2469663
